Variable;Position;Label;Measurement Level;Role;Column Width;Alignment;Print Format;Write Format
W18_PANELIST;23;PANELIST WAVE 18;Nominal;Input;8;Right;F9;F9
W19_PANELIST;24;PANELIST WAVE 19;Nominal;Input;8;Right;F9;F9
W20_PANELIST;25;PANELIST WAVE 20;Nominal;Input;8;Right;F9;F9
W21_PANELIST;26;PANELIST WAVE 21;Nominal;Input;8;Right;F9;F9
W22_PANELIST;27;PANELIST WAVE 22;Nominal;Input;8;Right;F9;F9
W23_PANELIST;28;PANELIST WAVE 23;Nominal;Input;8;Right;F9;F9
W24_PANELIST;29;PANELIST WAVE 24;Nominal;Input;8;Right;F9;F9
W25_PANELIST;30;PANELIST WAVE 25;Nominal;Input;8;Right;F9;F9
W26_PANELIST;31;PANELIST WAVE 26;Nominal;Input;8;Right;F9;F9
W27_PANELIST;32;PANELIST WAVE 27;Nominal;Input;8;Right;F9;F9
W28_PANELIST;33;PANELIST WAVE 28;Nominal;Input;8;Right;F9;F9
W29_PANELIST;34;PANELIST WAVE 29;Nominal;Input;8;Right;F9;F9
W30_PANELIST;35;PANELIST WAVE 30;Nominal;Input;8;Right;F9;F9
W31_PANELIST;36;PANELIST WAVE 31;Nominal;Input;8;Right;F9;F9
W32_PANELIST;37;PANELIST WAVE 32;Nominal;Input;8;Right;F9;F9
W1W10_PANELIST;38;PANELIST WAVE 1-10;Nominal;Input;8;Right;F9;F9
W1W15_PANELIST;39;PANELIST WAVE 1-15;Nominal;Input;8;Right;F9;F9
W1W20_PANELIST;40;PANELIST WAVE 1-20;Nominal;Input;8;Right;F9;F9
W1W24_PANELIST;41;PANELIST WAVE 1-24;Nominal;Input;8;Right;F9;F9
ALLWAVES_PANELIST;42;PANELIST WAVE 1-32;Nominal;Input;8;Right;F9;F9
W1_START_DATE;43;START DATE WAVE 1;Scale;Input;20;Right;DATE12;DATE12
W2_START_DATE;44;START DATE WAVE 2;Scale;Input;20;Right;DATE12;DATE12
W3_START_DATE;45;START DATE WAVE 3;Scale;Input;20;Right;DATE12;DATE12
W4_START_DATE;46;START DATE WAVE 4;Scale;Input;20;Right;DATE12;DATE12
W5_START_DATE;47;START DATE WAVE 5;Scale;Input;20;Right;DATE12;DATE12
W6_START_DATE;48;START DATE WAVE 6;Scale;Input;20;Right;DATE12;DATE12
W7_START_DATE;49;START DATE WAVE 7;Scale;Input;20;Right;DATE12;DATE12
W8_START_DATE;50;START DATE WAVE 8;Scale;Input;20;Right;DATE12;DATE12
W9_START_DATE;51;START DATE WAVE 9;Scale;Input;20;Right;DATE12;DATE12
W10_START_DATE;52;START DATE WAVE 10;Scale;Input;20;Right;DATE12;DATE12
W11_START_DATE;53;START DATE WAVE 11;Scale;Input;20;Right;DATE12;DATE12
W12_START_DATE;54;START DATE WAVE 12;Scale;Input;20;Right;DATE12;DATE12
W13_START_DATE;55;START DATE WAVE 13;Scale;Input;20;Right;DATE12;DATE12
W14_START_DATE;56;START DATE WAVE 14;Scale;Input;20;Right;DATE12;DATE12
W15_START_DATE;57;START DATE WAVE 15;Scale;Input;20;Right;DATE12;DATE12
W16_START_DATE;58;START DATE WAVE 16;Scale;Input;20;Right;DATE12;DATE12
W17_START_DATE;59;START DATE WAVE 17;Scale;Input;20;Right;DATE12;DATE12
W18_START_DATE;60;START DATE WAVE 18;Scale;Input;20;Right;DATE12;DATE12
W19_START_DATE;61;START DATE WAVE 19;Scale;Input;20;Right;DATE12;DATE12
W20_START_DATE;62;START DATE WAVE 20;Scale;Input;20;Right;DATE12;DATE12
W21_START_DATE;63;START DATE WAVE 21;Scale;Input;20;Right;DATE12;DATE12
W22_START_DATE;64;START DATE WAVE 22;Scale;Input;20;Right;DATE12;DATE12
W23_START_DATE;65;START DATE WAVE 23;Scale;Input;20;Right;DATE12;DATE12
W24_START_DATE;66;START DATE WAVE 24;Scale;Input;20;Right;DATE12;DATE12
W25_START_DATE;67;START DATE WAVE 25;Scale;Input;20;Right;DATE12;DATE12
W26_START_DATE;68;START DATE WAVE 26;Scale;Input;20;Right;DATE12;DATE12
W27_START_DATE;69;START DATE WAVE 27;Scale;Input;20;Right;DATE12;DATE12
W28_START_DATE;70;START DATE WAVE 28;Scale;Input;20;Right;DATE12;DATE12
W29_START_DATE;71;START DATE WAVE 29;Scale;Input;20;Right;DATE12;DATE12
W30_START_DATE;72;START DATE WAVE 30;Scale;Input;20;Right;DATE12;DATE12
W31_START_DATE;73;START DATE WAVE 31;Scale;Input;20;Right;DATE12;DATE12
W32_START_DATE;74;START DATE WAVE 32;Scale;Input;20;Right;DATE12;DATE12
W1_END_DATE;75;END DATE WAVE 1;Scale;Input;20;Right;DATE12;DATE12
W2_END_DATE;76;END DATE WAVE 2;Scale;Input;20;Right;DATE12;DATE12
W3_END_DATE;77;END DATE WAVE 3;Scale;Input;20;Right;DATE12;DATE12
W4_END_DATE;78;END DATE WAVE 4;Scale;Input;20;Right;DATE12;DATE12
W5_END_DATE;79;END DATE WAVE 5;Scale;Input;20;Right;DATE12;DATE12
W6_END_DATE;80;END DATE WAVE 6;Scale;Input;20;Right;DATE12;DATE12
W7_END_DATE;81;END DATE WAVE 7;Scale;Input;20;Right;DATE12;DATE12
W8_END_DATE;82;END DATE WAVE 8;Scale;Input;20;Right;DATE12;DATE12
W9_END_DATE;83;END DATE WAVE 9;Scale;Input;20;Right;DATE12;DATE12
W10_END_DATE;84;END DATE WAVE 10;Scale;Input;20;Right;DATE12;DATE12
W11_END_DATE;85;END DATE WAVE 11;Scale;Input;20;Right;DATE12;DATE12
W12_END_DATE;86;END DATE WAVE 12;Scale;Input;20;Right;DATE12;DATE12
W13_END_DATE;87;END DATE WAVE 13;Scale;Input;20;Right;DATE12;DATE12
W14_END_DATE;88;END DATE WAVE 14;Scale;Input;20;Right;DATE12;DATE12
W15_END_DATE;89;END DATE WAVE 15;Scale;Input;20;Right;DATE12;DATE12
W16_END_DATE;90;END DATE WAVE 16;Scale;Input;20;Right;DATE12;DATE12
W17_END_DATE;91;END DATE WAVE 17;Scale;Input;20;Right;DATE12;DATE12
W18_END_DATE;92;END DATE WAVE 18;Scale;Input;20;Right;DATE12;DATE12
W19_END_DATE;93;END DATE WAVE 19;Scale;Input;20;Right;DATE12;DATE12
W20_END_DATE;94;END DATE WAVE 20;Scale;Input;20;Right;DATE12;DATE12
W21_END_DATE;95;END DATE WAVE 21;Scale;Input;20;Right;DATE12;DATE12
W22_END_DATE;96;END DATE WAVE 22;Scale;Input;20;Right;DATE12;DATE12
W23_END_DATE;97;END DATE WAVE 23;Scale;Input;20;Right;DATE12;DATE12
W24_END_DATE;98;END DATE WAVE 24;Scale;Input;20;Right;DATE12;DATE12
W25_END_DATE;99;END DATE WAVE 25;Scale;Input;20;Right;DATE12;DATE12
W26_END_DATE;100;END DATE WAVE 26;Scale;Input;20;Right;DATE12;DATE12
W27_END_DATE;101;END DATE WAVE 27;Scale;Input;20;Right;DATE12;DATE12
W28_END_DATE;102;END DATE WAVE 28;Scale;Input;20;Right;DATE12;DATE12
W29_END_DATE;103;END DATE WAVE 29;Scale;Input;20;Right;DATE12;DATE12
W30_END_DATE;104;END DATE WAVE 30;Scale;Input;20;Right;DATE12;DATE12
W31_END_DATE;105;END DATE WAVE 31;Scale;Input;20;Right;DATE12;DATE12
W32_END_DATE;106;END DATE WAVE 32;Scale;Input;20;Right;DATE12;DATE12
W1_INTDUR;107;INTERVIEW DURATION WAVE 1;Scale;Input;8;Right;F12;F12
W2_INTDUR;108;INTERVIEW DURATION WAVE 2;Scale;Input;8;Right;F12;F12
W3_INTDUR;109;INTERVIEW DURATION WAVE 3;Scale;Input;8;Right;F12;F12
W4_INTDUR;110;INTERVIEW DURATION WAVE 4;Scale;Input;8;Right;F12;F12
W5_INTDUR;111;INTERVIEW DURATION WAVE 5;Scale;Input;8;Right;F12;F12
W6_INTDUR;112;INTERVIEW DURATION WAVE 6;Scale;Input;8;Right;F12;F12
W7_INTDUR;113;INTERVIEW DURATION WAVE 7;Scale;Input;8;Right;F12;F12
W8_INTDUR;114;INTERVIEW DURATION WAVE 8;Scale;Input;8;Right;F12;F12
W9_INTDUR;115;INTERVIEW DURATION WAVE 9;Scale;Input;8;Right;F12;F12
W10_INTDUR;116;INTERVIEW DURATION WAVE 10;Scale;Input;8;Right;F12;F12
W11_INTDUR;117;INTERVIEW DURATION WAVE 11;Scale;Input;8;Right;F12;F12
W12_INTDUR;118;INTERVIEW DURATION WAVE 12;Scale;Input;8;Right;F12;F12
W13_INTDUR;119;INTERVIEW DURATION WAVE 13;Scale;Input;8;Right;F12;F12
W14_INTDUR;120;INTERVIEW DURATION WAVE 14;Scale;Input;8;Right;F12;F12
W15_INTDUR;121;INTERVIEW DURATION WAVE 15;Scale;Input;8;Right;F12;F12
W16_INTDUR;122;INTERVIEW DURATION WAVE 16;Scale;Input;8;Right;F12;F12
W17_INTDUR;123;INTERVIEW DURATION WAVE 17;Scale;Input;8;Right;F12;F12
W18_INTDUR;124;INTERVIEW DURATION WAVE 18;Scale;Input;8;Right;F12;F12
W19_INTDUR;125;INTERVIEW DURATION WAVE 19;Scale;Input;8;Right;F12;F12
W20_INTDUR;126;INTERVIEW DURATION WAVE 20;Scale;Input;8;Right;F12;F12
W21_INTDUR;127;INTERVIEW DURATION WAVE 21;Scale;Input;8;Right;F12;F12
W22_INTDUR;128;INTERVIEW DURATION WAVE 22;Scale;Input;8;Right;F12;F12
W23_INTDUR;129;INTERVIEW DURATION WAVE 23;Scale;Input;8;Right;F12;F12
W24_INTDUR;130;INTERVIEW DURATION WAVE 24;Scale;Input;8;Right;F12;F12
W25_INTDUR;131;INTERVIEW DURATION WAVE 25;Scale;Input;8;Right;F12;F12
W26_INTDUR;132;INTERVIEW DURATION WAVE 26;Scale;Input;8;Right;F12;F12
W27_INTDUR;133;INTERVIEW DURATION WAVE 27;Scale;Input;8;Right;F12;F12
W28_INTDUR;134;INTERVIEW DURATION WAVE 28;Scale;Input;8;Right;F12;F12
W29_INTDUR;135;INTERVIEW DURATION WAVE 29;Scale;Input;8;Right;F12;F12
W30_INTDUR;136;INTERVIEW DURATION WAVE 30;Scale;Input;8;Right;F12;F12
W31_INTDUR;137;INTERVIEW DURATION WAVE 31;Scale;Input;8;Right;F12;F12
W32_INTDUR;138;INTERVIEW DURATION WAVE 32;Scale;Input;8;Right;F12;F12
W1_WEIGHTD;139;DEMOGRAPHIC WEIGHT WAVE 1;Scale;Input;8;Right;F9.2;F9.2
W2_WEIGHTD;140;DEMOGRAPHIC WEIGHT WAVE 2;Scale;Input;8;Right;F9.2;F9.2
W3_WEIGHTD;141;DEMOGRAPHIC WEIGHT WAVE 3;Scale;Input;8;Right;F9.2;F9.2
W4_WEIGHTD;142;DEMOGRAPHIC WEIGHT WAVE 4;Scale;Input;8;Right;F9.2;F9.2
W5_WEIGHTD;143;DEMOGRAPHIC WEIGHT WAVE 5;Scale;Input;8;Right;F9.2;F9.2
W6_WEIGHTD;144;DEMOGRAPHIC WEIGHT WAVE 6;Scale;Input;8;Right;F9.2;F9.2
W7_WEIGHTD;145;DEMOGRAPHIC WEIGHT WAVE 7;Scale;Input;8;Right;F9.2;F9.2
W8_WEIGHTD;146;DEMOGRAPHIC WEIGHT WAVE 8;Scale;Input;8;Right;F9.2;F9.2
W9_WEIGHTD;147;DEMOGRAPHIC WEIGHT WAVE 9;Scale;Input;8;Right;F9.2;F9.2
W10_WEIGHTD;148;DEMOGRAPHIC WEIGHT WAVE 10;Scale;Input;8;Right;F9.2;F9.2
W11_WEIGHTD;149;DEMOGRAPHIC WEIGHT WAVE 11;Scale;Input;8;Right;F9.2;F9.2
W12_WEIGHTD;150;DEMOGRAPHIC WEIGHT WAVE 12;Scale;Input;8;Right;F9.2;F9.2
W13_WEIGHTD;151;DEMOGRAPHIC WEIGHT WAVE 13;Scale;Input;8;Right;F9.2;F9.2
W14_WEIGHTD;152;DEMOGRAPHIC WEIGHT WAVE 14;Scale;Input;8;Right;F9.2;F9.2
W15_WEIGHTD;153;DEMOGRAPHIC WEIGHT WAVE 15;Scale;Input;8;Right;F9.2;F9.2
W16_WEIGHTD;154;DEMOGRAPHIC WEIGHT WAVE 16;Scale;Input;8;Right;F9.2;F9.2
W17_WEIGHTD;155;DEMOGRAPHIC WEIGHT WAVE 17;Scale;Input;8;Right;F9.2;F9.2
W18_WEIGHTD;156;DEMOGRAPHIC WEIGHT WAVE 18;Scale;Input;8;Right;F9.2;F9.2
W19_WEIGHTD;157;DEMOGRAPHIC WEIGHT WAVE 19;Scale;Input;8;Right;F9.2;F9.2
W20_WEIGHTD;158;DEMOGRAPHIC WEIGHT WAVE 20;Scale;Input;8;Right;F9.2;F9.2
W21_WEIGHTD;159;DEMOGRAPHIC WEIGHT WAVE 21;Scale;Input;8;Right;F9.2;F9.2
W22_WEIGHTD;160;DEMOGRAPHIC WEIGHT WAVE 22;Scale;Input;8;Right;F9.2;F9.2
W23_WEIGHTD;161;DEMOGRAPHIC WEIGHT WAVE 23;Scale;Input;8;Right;F9.2;F9.2
W24_WEIGHTD;162;DEMOGRAPHIC WEIGHT WAVE 24;Scale;Input;8;Right;F9.2;F9.2
W25_WEIGHTD;163;DEMOGRAPHIC WEIGHT WAVE 25;Scale;Input;8;Right;F9.2;F9.2
W26_WEIGHTD;164;DEMOGRAPHIC WEIGHT WAVE 26;Scale;Input;8;Right;F9.2;F9.2
W27_WEIGHTD;165;DEMOGRAPHIC WEIGHT WAVE 27;Scale;Input;8;Right;F9.2;F9.2
W28_WEIGHTD;166;DEMOGRAPHIC WEIGHT WAVE 28;Scale;Input;8;Right;F9.2;F9.2
W29_WEIGHTD;167;DEMOGRAPHIC WEIGHT WAVE 29;Scale;Input;8;Right;F9.2;F9.2
W30_WEIGHTD;168;DEMOGRAPHIC WEIGHT WAVE 30;Scale;Input;8;Right;F9.2;F9.2
W31_WEIGHTD;169;DEMOGRAPHIC WEIGHT WAVE 31;Scale;Input;8;Right;F9.2;F9.2
W32_WEIGHTD;170;DEMOGRAPHIC WEIGHT WAVE 32;Scale;Input;8;Right;F9.2;F9.2
W1W10_WEIGHTD;171;DEMOGRAPHIC WEIGHT WAVE 1-10;Scale;Input;8;Right;F9.2;F9.2
W1W15_WEIGHTD;172;DEMOGRAPHIC WEIGHT WAVE 1-15;Scale;Input;8;Right;F9.2;F9.2
W1W20_WEIGHTD;173;DEMOGRAPHIC WEIGHT WAVE 1-20;Scale;Input;8;Right;F9.2;F9.2
W1W24_WEIGHTD;174;DEMOGRAPHIC WEIGHT WAVE 1-24;Scale;Input;8;Right;F9.2;F9.2
ALLWAVES_WEIGHTD;175;DEMOGRAPHIC WEIGHT WAVE 1-32;Scale;Input;8;Right;F9.2;F9.2
W1_WEIGHTP;176;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 1;Scale;Input;8;Right;F9.2;F9.2
W2_WEIGHTP;177;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 2;Scale;Input;8;Right;F9.2;F9.2
W3_WEIGHTP;178;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 3;Scale;Input;8;Right;F9.2;F9.2
W4_WEIGHTP;179;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 4;Scale;Input;8;Right;F9.2;F9.2
W5_WEIGHTP;180;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 5;Scale;Input;8;Right;F9.2;F9.2
W6_WEIGHTP;181;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 6;Scale;Input;8;Right;F9.2;F9.2
W7_WEIGHTP;182;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 7;Scale;Input;8;Right;F9.2;F9.2
W8_WEIGHTP;183;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 8;Scale;Input;8;Right;F9.2;F9.2
W9_WEIGHTP;184;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 9;Scale;Input;8;Right;F9.2;F9.2
W10_WEIGHTP;185;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 10;Scale;Input;8;Right;F9.2;F9.2
W11_WEIGHTP;186;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 11;Scale;Input;8;Right;F9.2;F9.2
W12_WEIGHTP;187;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 12;Scale;Input;8;Right;F9.2;F9.2
W13_WEIGHTP;188;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 13;Scale;Input;8;Right;F9.2;F9.2
W14_WEIGHTP;189;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 14;Scale;Input;8;Right;F9.2;F9.2
W15_WEIGHTP;190;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 15;Scale;Input;8;Right;F9.2;F9.2
W16_WEIGHTP;191;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 16;Scale;Input;8;Right;F9.2;F9.2
W17_WEIGHTP;192;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 17;Scale;Input;8;Right;F9.2;F9.2
W18_WEIGHTP;193;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 18;Scale;Input;8;Right;F9.2;F9.2
W19_WEIGHTP;194;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 19;Scale;Input;8;Right;F9.2;F9.2
W20_WEIGHTP;195;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 20;Scale;Input;8;Right;F9.2;F9.2
W21_WEIGHTP;196;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 21;Scale;Input;8;Right;F9.2;F9.2
W22_WEIGHTP;197;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 22;Scale;Input;8;Right;F9.2;F9.2
W23_WEIGHTP;198;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 23;Scale;Input;8;Right;F9.2;F9.2
W24_WEIGHTP;199;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 24;Scale;Input;8;Right;F9.2;F9.2
W25_WEIGHTP;200;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 25;Scale;Input;8;Right;F9.2;F9.2
W26_WEIGHTP;201;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 26;Scale;Input;8;Right;F9.2;F9.2
W27_WEIGHTP;202;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 27;Scale;Input;8;Right;F9.2;F9.2
W28_WEIGHTP;203;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 28;Scale;Input;8;Right;F9.2;F9.2
W29_WEIGHTP;204;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 29;Scale;Input;8;Right;F9.2;F9.2
W30_WEIGHTP;205;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 30;Scale;Input;8;Right;F9.2;F9.2
W31_WEIGHTP;206;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 31;Scale;Input;8;Right;F9.2;F9.2
W32_WEIGHTP;207;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 32;Scale;Input;8;Right;F9.2;F9.2
W1W10_WEIGHTP;208;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 1-10;Scale;Input;8;Right;F9.2;F9.2
W1W15_WEIGHTP;209;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 1-15;Scale;Input;8;Right;F9.2;F9.2
W1W20_WEIGHTP;210;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 1-20;Scale;Input;8;Right;F9.2;F9.2
W1W24_WEIGHTP;211;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 1-24;Scale;Input;8;Right;F9.2;F9.2
ALLWAVES_WEIGHTP;212;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 1-32;Scale;Input;8;Right;F9.2;F9.2
SD_GENDER;213;GESCHLECHT;Nominal;Input;8;Right;F12;F12
SD_BIRTHYEAR;214;GEBURTSJAHR;Scale;Input;8;Right;F8;F8
SD_EDU;215;HOECHSTER SCHUL-/BILDUNGSABSCHLUSS;Nominal;Input;8;Right;F40;F40
SD_BULA;216;BUNDESLAND;Nominal;Input;8;Right;F29;F29
SD_HH_SIZE;217;HAUSHALTSGROESSE;Nominal;Input;8;Right;F8;F8
SD_HH_ADULTS;218;HAUSHALT: ANZAHL ERWACHSENE PERSONEN;Nominal;Input;8;Right;F8;F8
SD_HH_TEENS;219;HAUSHALT: ANZAHL TEENAGER 15-17 Jahre;Nominal;Input;8;Right;F8;F8
SD_HH_CHILD14;220;HAUSHALT: ANZAHL KINDER 6-14 JAHRE;Nominal;Input;8;Right;F8;F8
SD_HH_CHILD5;221;HAUSHALT: ANZAHL KINDER 3-5 JAHRE;Nominal;Input;8;Right;F8;F8
SD_HH_CHILD2;222;HAUSHALT: ANZAHL KINDER 0-2 JAHRE;Nominal;Input;8;Right;F8;F8
SD_HH_PARTNER;223;HAUSHALT: LEBENSGEFAEHRTE/IN;Nominal;Input;8;Right;F13;F13
SD_HH_OLDERFAM;224;HAUSHALT: AELTERE FAMILIENMITGLIEDER;Nominal;Input;8;Right;F13;F13
SD_HH_OUTERFAM;225;HAUSHALT: AUSSERFAMILIAERE WOHNGEMEINSCHAFT;Nominal;Input;8;Right;F13;F13
SD_HH_CHILD18;226;HAUSHALT: KINDER UEBER 18 JAHRE;Nominal;Input;8;Right;F13;F13
SD_HH_NOANSWER;227;HAUSHALT: KEINE ANGABE;Nominal;Input;8;Right;F13;F13
SD_EMPLSTATUS_FEB2020;228;ERWERBSTAETIGKEIT IM FEBRUAR 2020;Nominal;Input;8;Right;F40;F40
SD_PRECONDITION;229;VORERKRANKUNG;Nominal;Input;8;Right;F12;F12
SD_WORKHOURS_FEB2020;230;ARBEITSSTUNDEN: NORMALE WOCHE IM FEBRUAR 2020;Scale;Input;8;Right;F8;F8
SD_COMPANY_NUMEMPL;231;ANZAHL DER BESCHAEFTIGTEN IM UNTERNEHMEN: FEBRUAR 2020;Nominal;Input;8;Right;F13;F13
SD_INDUSTRY_EMPLOYED;232;AKTUELLE BRANCHE (ERWERBSTAETIGE);Nominal;Input;8;Right;F40;F40
SD_INDUSTRY_UNEMPLOYED;233;FRUEHERE BRANCHE (ARBEITSLOS);Nominal;Input;8;Right;F40;F40
SD_INCOME1_FEB2020;234;MONATL. NETTOEINKOMMEN: FEBRUAR 2020 (UNSELBSTSTAENDIGE);Nominal;Input;8;Right;F24;F24
SD_INCOME2_FEB2020;235;MONATL. NETTOEINKOMMEN: 2019 (SELBSTSTAENDIGE);Nominal;Input;8;Right;F24;F24
SD_INCOME_CHANGE;236;AENDERUNG AN EINKOMMENSSITUATION SEIT 13. MAERZ 2020;Nominal;Input;8;Right;F12;F12
SD_HHINCOME_FEB2020;237;HAUSHALTEINKOMMEN: FEBRUAR 2020;Nominal;Input;8;Right;F26;F26
SD_HOME_SQM;238;QUADRATMETER WOHNUNG;Scale;Input;8;Right;F8;F8
SD_ACCESS_BALCONY;239;ZUGANG PRIVATE FREIFLAECHE: BALKON;Nominal;Input;8;Right;F13;F13
SD_ACCESS_GARDEN;240;ZUGANG PRIVATE FREIFLAECHE: GARTEN;Nominal;Input;8;Right;F13;F13
SD_ACCESS_NONE;241;ZUGANG PRIVATE FREIFLAECHE: NEIN;Nominal;Input;8;Right;F13;F13
SD_ACCESS_NOANSWER;242;ZUGANG PRIVATE FREIFLAECHE: KEINE ANGABE;Nominal;Input;8;Right;F13;F13
SD_BORN_AUSTRIA;243;GEBURTSLAND OESTERREICH;Nominal;Input;8;Right;F12;F12
SD_MIGR_BACKGR;244;ELTERN NICHT IN OESTERREICH GEBOREN?;Nominal;Input;8;Right;F12;F12
SD_NRVOTE2019;245;WAHLENTSCHEIDUNG NATIONALRATSWAHL 2019;Nominal;Input;8;Right;F24;F24
SD_HOMEOWNER;246;EIGENTUM: HAUS/WOHNUNG, IN DER MAN LEBT;Nominal;Input;8;Right;F12;F12
SD_HOUSING_COSTS;247;HÖHE LAUFENDE WOHNKOSTEN;Nominal;Input;8;Right;F20;F20
SD_OWNER_BUSINESS;248;EIGENTUM: GESCHÄFT, UNTERNEHMEN, LANDWIRTSCHAFT ODER GRUNDSTÜCK;Nominal;Input;8;Right;F12;F12
SD_OWNER_LEASEDPROPERTY;249;EIGENTUM: VERMIETETE IMMOBILIE;Nominal;Input;8;Right;F12;F12
SD_OWNER_SAVINGS;250;EIGENTUM: SPARGUTHABEN;Nominal;Input;8;Right;F12;F12
SD_OWNER_SHARES;251;EIGENTUM: AKTIEN, WERTPAPIERE, FONDS ODER ANLEIHEN;Nominal;Input;8;Right;F12;F12
SD_OWNER_WEEKENDHOUSE;252;EIGENTUM: WOCHENENDHAUS, FERIENWOHNUNG,ETC.;Nominal;Input;8;Right;F12;F12
SD_POPNUM;253;EINWOHNERZAHL (GEMEINDE);Nominal;Input;8;Right;F9;F9
W1W30_WEIGHTP;254;DEMOGRAPHIC + POLITICAL WEIGHT WAVE 1-30;Scale;Input;8;Right;F9.2;F9.2
W1W30_WEIGHTD;255;DEMOGRAPHIC WEIGHT WAVE 1-30;Scale;Input;8;Right;F9.2;F9.2
W1W30_PANELIST;256;PANELIST WAVE 1-30;Nominal;Input;8;Right;F9;F9
W1_Q9A1;257;Gesundheitliche Gefahr: Fuer mich persoenlich;Nominal;Input;8;Right;F17;F17
W1_Q9A2;258;Gesundheitliche Gefahr: Fuer die oesterreichische Bevoelkerung;Nominal;Input;8;Right;F17;F17
W1_Q10A1;259;Wirtschaftliche Gefahr: Fuer mich persoenlich;Nominal;Input;8;Right;F17;F17
W1_Q10A2;260;Wirtschaftliche Gefahr: Fuer die oesterreichische Bevoelkerung;Nominal;Input;8;Right;F17;F17
W1_Q11A1;261;Anzahl der Infizierten (eigene Einschaetzung);Scale;Input;8;Right;F12;F12
W1_Q12;262;Massnahmen der Regierung: Angemessenheit;Nominal;Input;8;Right;F32;F32
W1_Q13;263;Massnahmen der Regierung: Effektivitaet;Nominal;Input;8;Right;F29;F29
