variable,value,Label
SD_EDU,6,"BHS mit Matura (z.B. HTL, HAK, HBLA etc.)"
SD_EDU,7,Hochschulverwandte Lehranstalt oder Kolleg
SD_EDU,8,Bachelor
SD_EDU,9,Magister / Master / Diplomingenieur / Fachhochschule
SD_EDU,10,Doktor / PhD
SD_EDU,99,keine Angabe
SD_EMPLSTATUS_FEB2020,Variable Label,ERWERBSTAETIGKEIT IM FEBRUAR 2020
SD_EMPLSTATUS_FEB2020,1,"Unselbststaendig erwerbstaetig (auch Lehrling), Privatwirtschaft"
SD_EMPLSTATUS_FEB2020,2,"Unselbststaendig erwerbstaetig (auch Lehrling), Oeffentlicher Dienst"
SD_EMPLSTATUS_FEB2020,3,Selbststaendig erwerbstaetig
SD_EMPLSTATUS_FEB2020,4,Arbeitslos
SD_EMPLSTATUS_FEB2020,5,Pensionist*in
SD_EMPLSTATUS_FEB2020,6,Ausschliesslich haushaltsfuehrend
SD_EMPLSTATUS_FEB2020,7,"Schueler/in, Student/in, Bildungskarenz"
SD_EMPLSTATUS_FEB2020,8,Sonstiges (Dauerhaft arbeitsunfaehig oder Praesenz-/Zivildiener)
SD_EMPLSTATUS_FEB2020,10,In Elternkarenz
SD_EMPLSTATUS_FEB2020,99,Keine Angabe
SD_GENDER,Variable Label,GESCHLECHT
SD_GENDER,1,Maennlich
SD_GENDER,2,Weiblich
SD_GENDER,99,Keine Angabe/Divers
SD_HH_ADULTS,Variable Label,HAUSHALT: ANZAHL ERWACHSENE PERSONEN
SD_HH_ADULTS,1,<=1
SD_HH_ADULTS,6,>=6
SD_HH_CHILD14,Variable Label,HAUSHALT: ANZAHL KINDER 6-14 JAHRE
SD_HH_CHILD14,2,>=2
SD_HH_CHILD18,Variable Label,HAUSHALT: KINDER UEBER 18 JAHRE
SD_HH_CHILD18,0,Nicht genannt
SD_HH_CHILD18,1,Genannt
SD_HH_CHILD2,Variable Label,HAUSHALT: ANZAHL KINDER 0-2 JAHRE
SD_HH_CHILD2,1,>=1
SD_HH_CHILD5,Variable Label,HAUSHALT: ANZAHL KINDER 3-5 JAHRE
SD_HH_CHILD5,1,>=1
SD_HH_NOANSWER,Variable Label,HAUSHALT: KEINE ANGABE
SD_HH_NOANSWER,0,Nicht genannt
SD_HH_NOANSWER,99,Genannt
SD_HH_OLDERFAM,Variable Label,HAUSHALT: AELTERE FAMILIENMITGLIEDER
SD_HH_OLDERFAM,0,Nicht genannt
SD_HH_OLDERFAM,1,Genannt
SD_HH_OUTERFAM,Variable Label,HAUSHALT: AUSSERFAMILIAERE WOHNGEMEINSCHAFT
SD_HH_OUTERFAM,0,Nicht genannt
SD_HH_OUTERFAM,1,Genannt
SD_HH_PARTNER,Variable Label,HAUSHALT: LEBENSGEFAEHRTE/IN
SD_HH_PARTNER,0,Nicht genannt
SD_HH_PARTNER,1,Genannt
SD_HH_SIZE,Variable Label,HAUSHALTSGROESSE
SD_HH_SIZE,6,>=6
SD_HH_TEENS,Variable Label,HAUSHALT: ANZAHL TEENAGER 15-17 Jahre
SD_HH_TEENS,2,>=2
SD_HHINCOME_FEB2020,Variable Label,HAUSHALTEINKOMMEN: FEBRUAR 2020
SD_HHINCOME_FEB2020,1,weniger als 1.100 Euro
SD_HHINCOME_FEB2020,2,1.100 bis unter 1.500 Euro
SD_HHINCOME_FEB2020,3,1.500 bis unter 1.800 Euro
SD_HHINCOME_FEB2020,4,1.800 bis unter 2.200 Euro
SD_HHINCOME_FEB2020,5,2.200 bis unter 2.700 Euro
SD_HHINCOME_FEB2020,6,2.700 bis unter 3.100 Euro
SD_HHINCOME_FEB2020,7,3.100 bis unter 3.700 Euro
SD_HHINCOME_FEB2020,8,3.700 bis unter 4.300 Euro
SD_HHINCOME_FEB2020,9,4.300 bis unter 5.500 Euro
SD_HHINCOME_FEB2020,10,5.500 Euro und mehr
SD_HHINCOME_FEB2020,99,keine Angabe
SD_HOME_SQM,Variable Label,QUADRATMETER WOHNUNG
SD_HOME_SQM,1,0-20
SD_HOME_SQM,2,21-40
SD_HOME_SQM,3,41-60
SD_HOME_SQM,4,61-80
SD_HOME_SQM,5,81-100
SD_HOME_SQM,6,101-120
SD_HOME_SQM,7,121-140
SD_HOME_SQM,8,141-160
SD_HOME_SQM,9,161-180
SD_HOME_SQM,10,181-200
SD_HOME_SQM,11,>=201
SD_HOMEOWNER,Variable Label,"EIGENTUM: HAUS/WOHNUNG, IN DER MAN LEBT"
SD_HOMEOWNER,1,Ja
SD_HOMEOWNER,2,Nein
SD_HOMEOWNER,88,Weiss nicht
SD_HOMEOWNER,99,keine Angabe
SD_HOUSING_COSTS,Variable Label,HÖHE LAUFENDE WOHNKOSTEN
SD_HOUSING_COSTS,1,Weniger als 250 Euro
SD_HOUSING_COSTS,2,250 bis 500 Euro
SD_HOUSING_COSTS,3,501 bis 750 Euro
SD_HOUSING_COSTS,4,751 bis 1000 Euro
SD_HOUSING_COSTS,5,1001 bis 1250 Euro
SD_HOUSING_COSTS,6,1251 bis 1500 Euro
SD_HOUSING_COSTS,7,1501 bis 1750 Euro
SD_HOUSING_COSTS,8,1751 bis 2000 Euro
SD_HOUSING_COSTS,9,Mehr als 2000 Euro
SD_HOUSING_COSTS,88,Weiss nicht
SD_HOUSING_COSTS,99,keine Angabe
SD_INCOME_CHANGE,Variable Label,AENDERUNG AN EINKOMMENSSITUATION SEIT 13. MAERZ 2020
SD_INCOME_CHANGE,1,Ja
SD_INCOME_CHANGE,2,Nein
SD_INCOME_CHANGE,99,keine Angabe
SD_INCOME_FEB2020,Variable Label,MONATL. NETTOEINKOMMEN: FEBRUAR 2020 (UNSELBST.)/2019 (SELSBT.)
SD_INCOME_FEB2020,5,bis unter 1.050€
SD_INCOME_FEB2020,6,1.050 bis unter 1.200€
SD_INCOME_FEB2020,7,1.200 bis unter 1.350€
SD_INCOME_FEB2020,8,1.350 bis unter 1.500€
SD_INCOME_FEB2020,9,1.500 bis unter 1.650€
SD_INCOME_FEB2020,10,1.650 bis unter 1.800€
SD_INCOME_FEB2020,11,1.800 bis unter 1.950€
SD_INCOME_FEB2020,12,1.950 bis unter 2.100€
SD_INCOME_FEB2020,13,2.100 bis unter 2.250€
SD_INCOME_FEB2020,14,2.250 bis unter 2.400€
SD_INCOME_FEB2020,15,2.400 bis unter 2.700€
SD_INCOME_FEB2020,16,2.700 bis unter 3.000€
SD_INCOME_FEB2020,17,3.000 bis unter 3.300€
SD_INCOME_FEB2020,18,3.300 und mehr
SD_INCOME_FEB2020,99,Keine Angabe
SD_INDUSTRY,Variable Label,AKTUELLE/FRUEHERE BRANCHE (ERWERBSTAETIGE/ARBEITSLOSE)
SD_INDUSTRY,1,"Land- und Forstwirtschaft, Fischerei"
SD_INDUSTRY,3,Verarbeitendes Gewerbe/Herstellung von Waren
SD_INDUSTRY,4,Energieversorgung
SD_INDUSTRY,6,Baugewerbe/Bau
SD_INDUSTRY,7,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
SD_INDUSTRY,8,Verkehr und Lagerei
SD_INDUSTRY,9,Gastgewerbe/Beherbergung und Gastronomie
SD_INDUSTRY,10,Information und Kommunikation
SD_INDUSTRY,11,Erbringung von Finanz- und Versicherungsdienstleistungen
SD_INDUSTRY,13,"Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen"
SD_INDUSTRY,14,Erbringung von sonstigen wirtschaftlichen Dienstleistungen
SD_INDUSTRY,15,"Oeffentliche Verwaltung, Verteidigung; Sozialversicherung (=> Oeffentlicher Dienst)"
SD_INDUSTRY,16,Erziehung und Unterricht
SD_INDUSTRY,17,Gesundheits- und Sozialwesen
SD_INDUSTRY,18,"Kunst, Unterhaltung und Erholung"
SD_INDUSTRY,19,Erbringung von sonstigen Dienstleistungen
SD_INDUSTRY,22,"Sonstiges (inkl. Kat. 2, 5, 12 20, 21)"
SD_INDUSTRY,99,Keine Angabe
SD_MIGR_BACKGR,Variable Label,ELTERN NICHT IN OESTERREICH GEBOREN?
SD_MIGR_BACKGR,1,"Ja, einer"
SD_MIGR_BACKGR,2,"Ja, beide"
SD_MIGR_BACKGR,3,Nein
SD_MIGR_BACKGR,99,keine Angabe
SD_NRVOTE2019,Variable Label,WAHLENTSCHEIDUNG NATIONALRATSWAHL 2019
SD_NRVOTE2019,1,OEVP/ Liste Kurz
SD_NRVOTE2019,2,SPOE
SD_NRVOTE2019,3,FPOE
SD_NRVOTE2019,4,Gruene
SD_NRVOTE2019,5,Neos
SD_NRVOTE2019,6,Liste JETZT
SD_NRVOTE2019,7,KPOE
SD_NRVOTE2019,8,Andere Partei
SD_NRVOTE2019,9,Habe ungueltig gewaehlt
SD_NRVOTE2019,10,Habe nicht gewaehlt
SD_NRVOTE2019,11,War nicht wahlberechtigt
SD_NRVOTE2019,99,keine Angabe
SD_OWNER_BUSINESS,Variable Label,"EIGENTUM: GESCHÄFT, UNTERNEHMEN, LANDWIRTSCHAFT ODER GRUNDSTÜCK"
SD_OWNER_BUSINESS,1,Ja
SD_OWNER_BUSINESS,2,Nein
SD_OWNER_BUSINESS,88,Weiss nicht
SD_OWNER_BUSINESS,99,keine Angabe
SD_OWNER_LEASEDPROPERTY,Variable Label,EIGENTUM: VERMIETETE IMMOBILIE
SD_OWNER_LEASEDPROPERTY,1,Ja
SD_OWNER_LEASEDPROPERTY,2,Nein
SD_OWNER_LEASEDPROPERTY,88,Weiss nicht
SD_OWNER_LEASEDPROPERTY,99,keine Angabe
SD_OWNER_SAVINGS,Variable Label,EIGENTUM: SPARGUTHABEN
SD_OWNER_SAVINGS,1,Ja
SD_OWNER_SAVINGS,2,Nein
SD_OWNER_SAVINGS,88,Weiss nicht
SD_OWNER_SAVINGS,99,keine Angabe
SD_OWNER_SHARES,Variable Label,"EIGENTUM: AKTIEN, WERTPAPIERE, FONDS ODER ANLEIHEN"
SD_OWNER_SHARES,1,Ja
SD_OWNER_SHARES,2,Nein
SD_OWNER_SHARES,88,Weiss nicht
SD_OWNER_SHARES,99,keine Angabe
SD_OWNER_WEEKENDHOUSE,Variable Label,"EIGENTUM: WOCHENENDHAUS, FERIENWOHNUNG,ETC."
SD_OWNER_WEEKENDHOUSE,1,Ja
SD_OWNER_WEEKENDHOUSE,2,Nein
SD_OWNER_WEEKENDHOUSE,88,Weiss nicht
SD_OWNER_WEEKENDHOUSE,99,keine Angabe
SD_PRECONDITION,Variable Label,VORERKRANKUNG
SD_PRECONDITION,1,"Ja, eine"
SD_PRECONDITION,2,"Ja, mehrere"
SD_PRECONDITION,3,Nein
SD_PRECONDITION,99,keine Angabe
SD_WORKHOURS_FEB2020,Variable Label,ARBEITSSTUNDEN: NORMALE WOCHE IM FEBRUAR 2020
SD_WORKHOURS_FEB2020,80,>=80
version,Variable Label,AUSSDA archive version
W1_END_DATE,Variable Label,END DATE WAVE 1
W1_INTDUR,Variable Label,INTERVIEW DURATION WAVE 1
W1_PANELIST,Variable Label,PANELIST WAVE 1
W1_Q10A1,Variable Label,Wirtschaftliche Gefahr: Fuer mich persoenlich
W1_Q10A1,1,1 = sehr gross
W1_Q10A1,2,2 = gross
W1_Q10A1,3,3 = mittelmaessig
W1_Q10A1,4,4 = klein
W1_Q10A1,5,5 = sehr klein
W1_Q10A1,99,keine Angabe
W1_Q10A2,Variable Label,Wirtschaftliche Gefahr: Fuer die oesterreichische Bevoelkerung
W1_Q10A2,1,1 = sehr gross
W1_Q10A2,2,2 = gross
W1_Q10A2,3,3 = mittelmaessig
W1_Q10A2,4,4 = klein
W1_Q10A2,5,5 = sehr klein
W1_Q10A2,99,keine Angabe
W1_Q11A1,Variable Label,Anzahl der Infizierten (eigene Einschaetzung)
W1_Q12,Variable Label,Massnahmen der Regierung: Angemessenheit
W1_Q12,1,1 = ueberhaupt nicht ausreichend
W1_Q12,2,2 = eher nicht ausreichend
W1_Q12,3,3 = angemessen
W1_Q12,4,4 = eher zu stark
W1_Q12,5,5 = zu extrem
W1_Q12,88,Weiss nicht
W1_Q12,99,keine Angabe
W1_Q13,Variable Label,Massnahmen der Regierung: Effektivitaet
W1_Q13,1,1 = ueberhaupt nicht effektiv
W1_Q13,2,2 = eher nicht effektiv
W1_Q13,3,3 = teils effektiv
W1_Q13,4,4 = eher effektiv
W1_Q13,5,5 = sehr effektiv
W1_Q13,88,Weiss nicht
W1_Q13,99,keine Angabe
W1_Q14,Variable Label,Geschaetzte Dauer der Krise
W1_Q14,1,Weniger als 1 Monat
W1_Q14,2,1-2 Monate
W1_Q14,3,3-4 Monate
W1_Q14,4,5-6 Monate
W1_Q14,5,Mehr als 6 Monate
W1_Q14,88,Weiss nicht
W1_Q14,99,keine Angabe
W1_Q15,Variable Label,Gesundheitszustand
W1_Q15,1,1 = Sehr gut
W1_Q15,2,2 = Gut
W1_Q15,3,3 = Mittelmaessig
W1_Q15,4,4 = Schlecht
W1_Q15,5,5 = Sehr schlecht
W1_Q15,99,keine Angabe
W1_Q19A1,Variable Label,Corona bisher nicht positiv: Wahrscheinlichkeit an Corona zu erkranken
W1_Q20,Variable Label,Corona-Diagnose: Direkter persoenlicher Kontakt
W1_Q20,1,Ja
W1_Q20,2,"Nein, aber eine Person, mit der ich Kontakt hatte, vermutet eine Infektion"
W1_Q20,3,Nein
W1_Q20,99,keine Angabe
W1_Q21A1,Variable Label,Familie und Freunde: Wahrscheinlichkeit an Corona zu erkranken
W1_Q22A1,Variable Label,Familie und Freunde: Wahrscheinlichkeit an Corona zu erkranken (weitere Person)
W1_Q23A1,Variable Label,Auswirkungen: Vergesse Wochentag
W1_Q23A1,1,1 = Trifft voll und ganz zu
W1_Q23A1,2,2 = Trifft eher zu
W1_Q23A1,3,3 = Teils-teils
W1_Q23A1,4,4 = Trifft eher nicht zu
W1_Q23A1,5,5 = Trifft gar nicht zu
W1_Q23A1,88,Weiss nicht
W1_Q23A1,99,keine Angabe
W1_Q23A2,Variable Label,Auswirkungen: Fehlt Kontakt
W1_Q23A2,1,1 = Trifft voll und ganz zu
W1_Q23A2,2,2 = Trifft eher zu
W1_Q23A2,3,3 = Teils-teils
W1_Q23A2,4,4 = Trifft eher nicht zu
W1_Q23A2,5,5 = Trifft gar nicht zu
W1_Q23A2,88,Weiss nicht
W1_Q23A2,99,keine Angabe
W1_Q23A3,Variable Label,"Auswirkungen: Dinge tun, fuer die sonst keine Zeit"
W1_Q23A3,1,1 = Trifft voll und ganz zu
W1_Q23A3,2,2 = Trifft eher zu
W1_Q23A3,3,3 = Teils-teils
W1_Q23A3,4,4 = Trifft eher nicht zu
W1_Q23A3,5,5 = Trifft gar nicht zu
W1_Q23A3,88,Weiss nicht
W1_Q23A3,99,keine Angabe
W1_Q23A4,Variable Label,Auswirkungen: Konflikte in Beziehung/Familie
W1_Q23A4,1,1 = Trifft voll und ganz zu
W1_Q23A4,2,2 = Trifft eher zu
W1_Q23A4,3,3 = Teils-teils
W1_Q23A4,4,4 = Trifft eher nicht zu
W1_Q23A4,5,5 = Trifft gar nicht zu
W1_Q23A4,88,Weiss nicht
W1_Q23A4,99,keine Angabe
W1_Q24A1,Variable Label,Aussage: Kinderbetreuung stellt Problem dar
W1_Q24A1,1,1 = Trifft voll und ganz zu
W1_Q24A1,2,2 = Trifft eher zu
W1_Q24A1,3,3 = Teils-teils
W1_Q24A1,4,4 = Trifft eher nicht zu
W1_Q24A1,5,5 = Trifft gar nicht zu
W1_Q24A1,88,Weiss nicht
W1_Q24A1,99,keine Angabe
W1_Q25A1,Variable Label,Depressivitaet: ruhig und gelassen
W1_Q25A1,1,nie
W1_Q25A1,2,an manchen Tagen
W1_Q25A1,3,mehrmals die Woche
W1_Q25A1,4,beinahe jeden Tag
W1_Q25A1,5,taeglich
W1_Q25A1,88,Weiss nicht
W1_Q25A1,99,keine Angabe
W1_Q25A2,Variable Label,Depressivitaet: einsam
W1_Q25A2,1,nie
W1_Q25A2,2,an manchen Tagen
W1_Q25A2,3,mehrmals die Woche
W1_Q25A2,4,beinahe jeden Tag
W1_Q25A2,5,taeglich
W1_Q25A2,88,Weiss nicht
W1_Q25A2,99,keine Angabe
W1_Q25A3,Variable Label,Depressivitaet: aergerlich
W1_Q25A3,1,nie
W1_Q25A3,2,an manchen Tagen
W1_Q25A3,3,mehrmals die Woche
W1_Q25A3,4,beinahe jeden Tag
W1_Q25A3,5,taeglich
W1_Q25A3,88,Weiss nicht
W1_Q25A3,99,keine Angabe
W1_Q25A4,Variable Label,Depressivitaet: so niedergeschlagen
W1_Q25A4,1,nie
W1_Q25A4,2,an manchen Tagen
W1_Q25A4,3,mehrmals die Woche
W1_Q25A4,4,beinahe jeden Tag
W1_Q25A4,5,taeglich
W1_Q25A4,88,Weiss nicht
W1_Q25A4,99,keine Angabe
W1_Q25A5,Variable Label,Depressivitaet: gluecklich
W1_Q25A5,1,nie
W1_Q25A5,2,an manchen Tagen
W1_Q25A5,3,mehrmals die Woche
W1_Q25A5,4,beinahe jeden Tag
W1_Q25A5,5,taeglich
W1_Q25A5,88,Weiss nicht
W1_Q25A5,99,keine Angabe
W1_Q25A6,Variable Label,Depressivitaet: sehr nervoes
W1_Q25A6,1,nie
W1_Q25A6,2,an manchen Tagen
W1_Q25A6,3,mehrmals die Woche
W1_Q25A6,4,beinahe jeden Tag
W1_Q25A6,5,taeglich
W1_Q25A6,88,Weiss nicht
W1_Q25A6,99,keine Angabe
W1_Q25A7,Variable Label,Depressivitaet: aengstlich
W1_Q25A7,1,nie
W1_Q25A7,2,an manchen Tagen
W1_Q25A7,3,mehrmals die Woche
W1_Q25A7,4,beinahe jeden Tag
W1_Q25A7,5,taeglich
W1_Q25A7,88,Weiss nicht
W1_Q25A7,99,keine Angabe
W1_Q25A8,Variable Label,Depressivitaet: bedrueckt und traurig
W1_Q25A8,1,nie
W1_Q25A8,2,an manchen Tagen
W1_Q25A8,3,mehrmals die Woche
W1_Q25A8,4,beinahe jeden Tag
W1_Q25A8,5,taeglich
W1_Q25A8,88,Weiss nicht
W1_Q25A8,99,keine Angabe
W1_Q25A9,Variable Label,Depressivitaet: voller Energie
W1_Q25A9,1,nie
W1_Q25A9,2,an manchen Tagen
W1_Q25A9,3,mehrmals die Woche
W1_Q25A9,4,beinahe jeden Tag
W1_Q25A9,5,taeglich
W1_Q25A9,88,Weiss nicht
W1_Q25A9,99,keine Angabe
W1_Q26A1,Variable Label,Zuhause verlassen: Arbeit
W1_Q26A1,1,nie
W1_Q26A1,2,an manchen Tagen
W1_Q26A1,3,mehrmals die Woche
W1_Q26A1,4,beinahe jeden Tag
W1_Q26A1,5,taeglich
W1_Q26A1,88,Weiss nicht
W1_Q26A1,99,keine Angabe
W1_Q26A2,Variable Label,Zuhause verlassen: Sport
W1_Q26A2,1,nie
W1_Q26A2,2,an manchen Tagen
W1_Q26A2,3,mehrmals die Woche
W1_Q26A2,4,beinahe jeden Tag
W1_Q26A2,5,taeglich
W1_Q26A2,88,Weiss nicht
W1_Q26A2,99,keine Angabe
W1_Q26A3,Variable Label,Zuhause verlassen: Freunde oder Verwandte treffen
W1_Q26A3,1,nie
W1_Q26A3,2,an manchen Tagen
W1_Q26A3,3,mehrmals die Woche
W1_Q26A3,4,beinahe jeden Tag
W1_Q26A3,5,taeglich
W1_Q26A3,88,Weiss nicht
W1_Q26A3,99,keine Angabe
W1_Q26A4,Variable Label,"Zuhause verlassen: Medikamente, medizinische Versorgung, Pflege, Hilfe"
W1_Q26A4,1,nie
W1_Q26A4,2,an manchen Tagen
W1_Q26A4,3,mehrmals die Woche
W1_Q26A4,4,beinahe jeden Tag
W1_Q26A4,5,taeglich
W1_Q26A4,88,Weiss nicht
W1_Q26A4,99,keine Angabe
W1_Q26A5,Variable Label,Zuhause verlassen: Essen einkaufen
W1_Q26A5,1,nie
W1_Q26A5,2,an manchen Tagen
W1_Q26A5,3,mehrmals die Woche
W1_Q26A5,4,beinahe jeden Tag
W1_Q26A5,5,taeglich
W1_Q26A5,88,Weiss nicht
W1_Q26A5,99,keine Angabe
W1_Q26A6,Variable Label,Zuhause verlassen: Haustier ausfuehren
W1_Q26A6,1,nie
W1_Q26A6,2,an manchen Tagen
W1_Q26A6,3,mehrmals die Woche
W1_Q26A6,4,beinahe jeden Tag
W1_Q26A6,5,taeglich
W1_Q26A6,88,Weiss nicht
W1_Q26A6,99,keine Angabe
W1_Q26A7,Variable Label,Zuhause verlassen: Langeweile im Haus/um Freiheit zu geniessen
W1_Q26A7,1,nie
W1_Q26A7,2,an manchen Tagen
W1_Q26A7,3,mehrmals die Woche
W1_Q26A7,4,beinahe jeden Tag
W1_Q26A7,5,taeglich
W1_Q26A7,88,Weiss nicht
W1_Q26A7,99,keine Angabe
W1_Q26A8,Variable Label,Zuhause verlassen: Andere Gruende
W1_Q26A8,1,nie
W1_Q26A8,2,an manchen Tagen
W1_Q26A8,3,mehrmals die Woche
W1_Q26A8,4,beinahe jeden Tag
W1_Q26A8,5,taeglich
W1_Q26A8,88,Weiss nicht
W1_Q26A8,99,keine Angabe
W1_Q27A1,Variable Label,Wie viele Oesterreicher denken: Geschaefte sollen geschlossen bleiben (Prozent)
W1_Q27A2,Variable Label,Wie viele Oesterreicher denken: Menschen muessen Zuhause bleiben (Prozent)
W1_Q27A3,Variable Label,Wie viele Oesterreicher denken: Nicht-Einhaltung sollte bestraft werden (Proz.)
W1_Q28A1,Variable Label,Chance: Zusammenhalt hat sich erhoeht
W1_Q28A1,1,1 = Trifft voll und ganz zu
W1_Q28A1,2,2 = Trifft eher zu
W1_Q28A1,3,3 = Teils-teils
W1_Q28A1,4,4 = Trifft eher nicht zu
W1_Q28A1,5,5 = Trifft gar nicht zu
W1_Q28A1,88,Weiss nicht
W1_Q28A1,99,keine Angabe
W1_Q28A2,Variable Label,Chance: Gut fuer Umwelt und Klima
W1_Q28A2,1,1 = Trifft voll und ganz zu
W1_Q28A2,2,2 = Trifft eher zu
W1_Q28A2,3,3 = Teils-teils
W1_Q28A2,4,4 = Trifft eher nicht zu
W1_Q28A2,5,5 = Trifft gar nicht zu
W1_Q28A2,88,Weiss nicht
W1_Q28A2,99,keine Angabe
W1_Q29A1,Variable Label,Vertrauen: ORF
W1_Q29A1,0,0 = Ueberhaupt kein Vertrauen
W1_Q29A1,1,1
W1_Q29A1,2,2
W1_Q29A1,3,3
W1_Q29A1,4,4
W1_Q29A1,5,5
W1_Q29A1,6,6
W1_Q29A1,7,7
W1_Q29A1,8,8
W1_Q29A1,9,9
W1_Q29A1,10,10 = Sehr viel Vertrauen
W1_Q29A1,88,Weiss nicht
W1_Q29A1,99,keine Angabe
W1_Q29A2,Variable Label,Vertrauen: Polizei
W1_Q29A2,0,0 = Ueberhaupt kein Vertrauen
W1_Q29A2,1,1
W1_Q29A2,2,2
W1_Q29A2,3,3
W1_Q29A2,4,4
W1_Q29A2,5,5
W1_Q29A2,6,6
W1_Q29A2,7,7
W1_Q29A2,8,8
W1_Q29A2,9,9
W1_Q29A2,10,10 = Sehr viel Vertrauen
W1_Q29A2,88,Weiss nicht
W1_Q29A2,99,keine Angabe
W1_Q29A3,Variable Label,Vertrauen: Parlament
W1_Q29A3,0,0 = Ueberhaupt kein Vertrauen
W1_Q29A3,1,1
W1_Q29A3,2,2
W1_Q29A3,3,3
W1_Q29A3,4,4
W1_Q29A3,5,5
W1_Q29A3,6,6
W1_Q29A3,7,7
W1_Q29A3,8,8
W1_Q29A3,9,9
W1_Q29A3,10,10 = Sehr viel Vertrauen
W1_Q29A3,88,Weiss nicht
W1_Q29A3,99,keine Angabe
W1_Q29A4,Variable Label,Vertrauen: Gesundheitswesen
W1_Q29A4,0,0 = Ueberhaupt kein Vertrauen
W1_Q29A4,1,1
W1_Q29A4,2,2
W1_Q29A4,3,3
W1_Q29A4,4,4
W1_Q29A4,5,5
W1_Q29A4,6,6
W1_Q29A4,7,7
W1_Q29A4,8,8
W1_Q29A4,9,9
W1_Q29A4,10,10 = Sehr viel Vertrauen
W1_Q29A4,88,Weiss nicht
W1_Q29A4,99,keine Angabe
W1_Q29A5,Variable Label,Vertrauen: Bundesregierung
W1_Q29A5,0,0 = Ueberhaupt kein Vertrauen
W1_Q29A5,1,1
W1_Q29A5,2,2
W1_Q29A5,3,3
W1_Q29A5,4,4
W1_Q29A5,5,5
W1_Q29A5,6,6
W1_Q29A5,7,7
W1_Q29A5,8,8
W1_Q29A5,9,9
W1_Q29A5,10,10 = Sehr viel Vertrauen
W1_Q29A5,88,Weiss nicht
W1_Q29A5,99,keine Angabe
W1_Q29A6,Variable Label,Vertrauen: Bundesheer
W1_Q29A6,0,0 = Ueberhaupt kein Vertrauen
W1_Q29A6,1,1
W1_Q29A6,2,2
W1_Q29A6,3,3
W1_Q29A6,4,4
W1_Q29A6,5,5
W1_Q29A6,6,6
W1_Q29A6,7,7
W1_Q29A6,8,8
W1_Q29A6,9,9
W1_Q29A6,10,10 = Sehr viel Vertrauen
W1_Q29A6,88,Weiss nicht
W1_Q29A6,99,keine Angabe
W1_Q30A1,Variable Label,Ueberwachung: per Video ueberwachen
W1_Q30A1,1,1 = Sollte definitiv das Recht dazu haben
W1_Q30A1,2,2 = Sollte vermutlich das Recht dazu haben
